  
       XFOIL         Version 6.96
  
 Calculated polar for: SIKORSKY SC1095 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  11.250   1.2677   0.02237   0.01624  -0.0051   0.0120   1.0000
  11.500   1.2849   0.02359   0.01758  -0.0041   0.0114   1.0000
  11.750   1.2978   0.02519   0.01932  -0.0027   0.0109   1.0000
  12.000   1.3092   0.02677   0.02106  -0.0011   0.0105   1.0000
  12.250   1.3226   0.02802   0.02244   0.0002   0.0103   1.0000
  12.500   1.3334   0.02940   0.02396   0.0017   0.0100   1.0000
  12.750   1.3390   0.03088   0.02557   0.0037   0.0097   1.0000
  13.000   1.3409   0.03258   0.02739   0.0059   0.0095   1.0000
  13.250   1.3407   0.03462   0.02957   0.0074   0.0093   1.0000
  13.500   1.3382   0.03712   0.03222   0.0083   0.0091   1.0000
  13.750   1.3333   0.04024   0.03548   0.0083   0.0090   1.0000
  14.000   1.3262   0.04411   0.03950   0.0071   0.0090   1.0000
  14.250   1.3165   0.04896   0.04452   0.0047   0.0089   1.0000
  14.500   1.3039   0.05501   0.05075   0.0008   0.0089   1.0000
  14.750   1.2877   0.06228   0.05820  -0.0040   0.0089   1.0000
  15.000   1.2679   0.07040   0.06650  -0.0092   0.0089   1.0000
  15.250   1.2450   0.07890   0.07516  -0.0140   0.0090   1.0000
  15.500   1.2208   0.08740   0.08380  -0.0185   0.0090   1.0000
